,0,1,2,3,4,5,6,7,8
0,0.0,0.012,0.004,0.0,0.0,0.984,,,
1,0.0,0.01,0.002,0.0,0.988,,,,
2,0.007,0.063,0.012,0.918,,,,,
3,0.008,0.024,0.01,0.0,0.958,,,,
4,0.0,0.112,0.016,0.002,0.0,0.87,,,
5,0.0,0.006,0.004,0.0,0.99,,,,
6,0.008,0.084,0.024,0.884,,,,,
7,0.002,0.013,0.007,0.978,,,,,
8,0.002,0.014,0.004,0.002,0.0,0.978,,,
9,0.008,0.13,0.008,0.004,0.0,0.85,,,
10,0.01,0.104,0.01,0.0,0.876,,,,
11,0.01,0.068,0.02,0.0,0.902,,,,
12,0.006,0.016,0.002,0.0,0.976,,,,
13,0.002,0.136,0.02,0.0,0.0,0.842,,,
14,0.0,0.0,0.036,0.0,0.0,0.964,,,
15,0.0,0.026,0.01,0.002,0.0,0.962,,,
16,0.0,0.08,0.018,0.002,0.0,0.9,,,
17,0.004,0.122,0.03,0.0,0.0,0.844,,,
18,0.002,0.002,0.001,0.995,,,,,
19,0.012,0.114,0.01,0.002,0.862,,,,
20,0.0,0.142,0.002,0.0,0.856,,,,
21,0.0,0.018,0.016,0.004,0.962,,,,
22,0.016,0.068,0.01,0.0,0.0,0.906,,,
23,0.012,0.126,0.012,0.002,0.0,0.848,,,
24,0.0,0.152,0.032,0.0,0.816,,,,
25,0.002,0.08,0.018,0.002,0.002,0.896,,,
26,0.0,0.01,0.01,0.0,0.0,0.98,,,
27,0.006,0.138,0.024,0.0,0.0,0.832,,,
28,0.002,0.104,0.03,0.0,0.864,,,,
29,0.008,0.104,0.014,0.002,0.872,,,,
30,0.0,0.084,0.008,0.0,0.908,,,,
31,0.016,0.058,0.008,0.004,0.0,0.914,,,
32,0.0,0.012,0.004,0.004,0.98,,,,
33,0.0,0.068,0.018,0.0,0.0,0.914,,,
34,0.0,0.065,0.005,0.005,0.0,0.0,0.0,0.925,
35,0.03,0.0,0.01,0.0,0.0,0.0,0.0,0.96,
36,0.01,0.065,0.03,0.0,0.0,0.0,0.895,,
37,0.005,0.1,0.015,0.0,0.0,0.0,0.0,0.88,
38,0.0,0.01,0.0,0.005,0.0,0.0,0.985,,
39,0.01,0.005,0.005,0.005,0.0,0.0,0.975,,
40,0.0,0.03,0.015,0.0,0.0,0.0,0.0,0.955,
41,0.005,0.02,0.0,0.005,0.0,0.0,0.97,,
42,0.0,0.005,0.0,0.0,0.0,0.0,0.995,,
43,0.0,0.02,0.025,0.0,0.0,0.0,0.955,,
